genotype,replication,canopy_cover_pct,ndvi_proxy,red_edge_index_proxy,texture_uniformity,thermal_depression_c,plant_height_cm,spad_chlorophyll_proxy,disease_score_1_9,days_to_maturity,yield_potential_score
AIPHENO_G01,1,75.996,0.769,0.476,0.558,6.583,50.183,52.103,1.497,80.076,37.417
AIPHENO_G01,2,76.377,0.775,0.488,0.558,6.392,56.196,53.687,1.405,82.583,36.001
AIPHENO_G01,3,73.462,0.746,0.487,0.59,6.848,53.313,51.906,1.0,80.61,35.732
AIPHENO_G01,4,71.31,0.793,0.501,0.577,6.571,53.697,51.33,1.425,82.966,35.092
AIPHENO_G02,1,46.687,0.575,0.314,0.464,3.21,40.803,38.43,3.885,79.256,21.655
AIPHENO_G02,2,49.223,0.542,0.337,0.484,2.951,41.713,36.614,3.793,80.71,22.227
AIPHENO_G02,3,48.88,0.533,0.33,0.466,2.301,42.159,35.563,3.79,79.235,21.321
AIPHENO_G02,4,50.247,0.545,0.314,0.451,3.468,39.302,34.98,4.196,80.086,22.536
AIPHENO_G03,1,56.229,0.628,0.395,0.537,4.047,50.803,40.76,2.975,83.524,28.892
AIPHENO_G03,2,63.213,0.647,0.388,0.552,4.306,51.256,39.864,3.126,85.348,28.877
AIPHENO_G03,3,59.344,0.636,0.379,0.5,3.617,51.339,42.893,3.231,84.112,25.136
AIPHENO_G03,4,61.281,0.636,0.369,0.541,4.16,51.421,42.29,2.496,85.768,30.626
AIPHENO_G04,1,69.582,0.689,0.412,0.513,5.654,53.352,46.31,2.331,83.991,32.142
AIPHENO_G04,2,68.135,0.676,0.434,0.494,4.889,56.937,49.055,1.674,84.041,32.386
AIPHENO_G04,3,60.241,0.721,0.449,0.54,4.963,58.568,49.059,1.693,84.402,29.307
AIPHENO_G04,4,63.524,0.659,0.422,0.528,5.015,55.719,44.492,1.856,85.92,30.002
AIPHENO_G05,1,50.298,0.599,0.364,0.513,4.448,47.427,38.995,2.84,80.628,24.378
AIPHENO_G05,2,55.124,0.58,0.359,0.523,3.863,42.703,36.259,2.867,79.682,25.566
AIPHENO_G05,3,51.867,0.638,0.335,0.51,4.085,42.353,39.946,2.98,81.758,26.764
AIPHENO_G05,4,54.049,0.587,0.376,0.488,4.69,46.386,39.218,3.517,81.56,25.3
AIPHENO_G06,1,53.249,0.57,0.336,0.397,3.213,46.958,37.652,5.087,80.213,24.097
AIPHENO_G06,2,53.324,0.577,0.332,0.384,3.257,46.11,40.28,4.805,79.86,23.522
AIPHENO_G06,3,53.598,0.594,0.321,0.384,3.263,47.815,35.864,4.367,79.771,23.434
AIPHENO_G06,4,46.248,0.554,0.347,0.436,3.118,44.59,38.875,4.626,81.391,20.538
AIPHENO_G07,1,70.856,0.682,0.433,0.6,4.43,54.593,42.924,2.266,81.021,30.327
AIPHENO_G07,2,77.602,0.712,0.425,0.622,4.609,50.618,47.426,2.241,82.884,33.457
AIPHENO_G07,3,71.099,0.678,0.459,0.566,4.903,53.897,46.061,2.603,82.203,31.075
AIPHENO_G07,4,76.275,0.682,0.453,0.649,5.942,49.539,47.269,1.742,81.251,33.065
AIPHENO_G08,1,57.396,0.585,0.36,0.478,3.82,44.311,36.026,3.901,82.032,24.708
AIPHENO_G08,2,51.111,0.597,0.333,0.512,3.721,46.053,36.021,3.026,81.327,22.857
AIPHENO_G08,3,50.208,0.593,0.367,0.476,4.176,48.184,33.469,3.101,82.619,23.808
AIPHENO_G08,4,49.87,0.58,0.342,0.467,4.031,43.202,38.925,3.611,80.186,21.286
AIPHENO_G09,1,56.011,0.596,0.364,0.477,4.146,47.591,38.986,3.594,81.817,24.643
AIPHENO_G09,2,53.721,0.617,0.344,0.515,4.04,47.215,40.756,3.489,79.563,26.618
AIPHENO_G09,3,59.977,0.606,0.354,0.499,4.125,45.802,39.576,3.473,82.226,26.65
